title,year,rating,popularity,Action,Comedy,Drama,Horror,Sci-Fi,Romance,Thriller,Animation,Crime,Fantasy
Inception,2010,8.8,95,1,0,0,0,1,0,1,0,0,0
The Dark Knight,2008,9.0,98,1,0,0,0,0,0,1,0,1,0
Interstellar,2014,8.6,93,0,0,1,0,1,0,0,0,0,0
The Matrix,1999,8.7,94,1,0,0,0,1,0,0,0,0,0
Parasite,2019,8.5,88,0,0,1,0,0,0,1,0,1,0
Joker,2019,8.4,90,0,0,1,0,0,0,1,0,1,0
Avengers Endgame,2019,8.4,97,1,0,0,0,1,0,0,0,0,1
The Shawshank Redemption,1994,9.3,92,0,0,1,0,0,0,0,0,1,0
Forrest Gump,1994,8.8,91,0,0,1,0,0,1,0,0,0,0
Pulp Fiction,1994,8.9,90,0,0,1,0,0,0,1,0,1,0
Titanic,1997,7.9,89,0,0,1,0,0,1,0,0,0,0
The Silence of the Lambs,1991,8.6,87,0,0,1,1,0,0,1,0,1,0
Get Out,2017,7.7,82,0,0,0,1,0,0,1,0,0,0
A Quiet Place,2018,7.5,80,0,0,0,1,1,0,1,0,0,0
Hereditary,2018,7.3,75,0,0,1,1,0,0,0,0,0,0
The Conjuring,2013,7.5,79,0,0,0,1,0,0,1,0,0,0
Toy Story,1995,8.3,88,0,1,0,0,0,0,0,1,0,1
Spirited Away,2001,8.6,87,0,0,0,0,0,0,0,1,0,1
Up,2009,8.2,86,0,1,1,0,0,0,0,1,0,0
Coco,2017,8.4,85,0,0,1,0,0,0,0,1,0,1
The Notebook,2004,7.9,78,0,0,1,0,0,1,0,0,0,0
La La Land,2016,8.0,83,0,1,1,0,0,1,0,0,0,0
500 Days of Summer,2009,7.7,77,0,1,1,0,0,1,0,0,0,0
About Time,2013,7.8,76,0,0,1,0,1,1,0,0,0,0
The Grand Budapest Hotel,2014,8.1,80,0,1,1,0,0,0,0,0,0,0
Superbad,2007,7.6,79,0,1,0,0,0,0,0,0,0,0
The Hangover,2009,7.7,81,0,1,0,0,0,0,0,0,0,0
Mad Max Fury Road,2015,8.1,87,1,0,0,0,1,0,0,0,0,0
John Wick,2014,7.4,86,1,0,0,0,0,0,1,0,1,0
Top Gun Maverick,2022,8.3,94,1,0,1,0,0,0,0,0,0,0
Everything Everywhere All at Once,2022,8.0,88,1,1,0,0,1,0,0,0,0,0
Dune,2021,8.0,89,1,0,1,0,1,0,0,0,0,0
No Country for Old Men,2007,8.2,84,0,0,1,0,0,0,1,0,1,0
Knives Out,2019,7.9,82,0,1,1,0,0,0,0,0,1,0
Se7en,1995,8.6,88,0,0,1,0,0,0,1,0,1,0
Doctor Strange,2016,7.5,85,1,0,0,0,1,0,0,0,0,1
Blade Runner 2049,2017,8.0,83,1,0,1,0,1,0,1,0,0,0
The Martian,2015,8.0,85,0,1,1,0,1,0,0,0,0,0
Gravity,2013,7.7,82,0,0,1,0,1,0,1,0,0,0
Black Mirror Bandersnatch,2018,7.2,74,0,0,1,0,1,0,1,0,0,0
